POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
159790 	20.16 	8.82 	29.05 	0.00 	28.20 	0.00 
536858 	69.35 	30.99 	100.67 	0.00 	96.30 	0.00 
38961 	6.68 	2.95 	9.59 	0.00 	9.32 	0.00 
81015 	13.14 	5.77 	19.01 	0.00 	18.29 	0.00 
39647 	6.24 	2.74 	9.03 	0.00 	8.75 	0.00 
67995 	9.65 	4.25 	13.97 	0.00 	13.54 	0.00 
1190139 	94.86 	42.41 	137.54 	0.00 	133.57 	0.00 
87904 	14.65 	6.40 	21.15 	0.00 	20.45 	0.00 
249190 	30.74 	13.54 	44.52 	0.00 	42.79 	0.00 
285839 	30.10 	13.25 	43.32 	0.00 	42.14 	0.00 
576382 	26.99 	11.94 	39.05 	0.00 	38.01 	0.00 
30908 	5.05 	2.23 	7.28 	0.00 	7.06 	0.00 
278466 	26.45 	11.82 	38.29 	0.00 	37.23 	0.00 
132806 	21.07 	9.23 	30.46 	0.00 	29.47 	0.00 
8869 	1.57 	0.70 	2.28 	0.00 	2.20 	0.00 
156700 	24.45 	10.69 	35.41 	0.00 	33.77 	0.00 
15032 	2.70 	1.18 	3.91 	0.00 	3.84 	0.00 
67873 	11.64 	5.07 	16.83 	0.00 	16.09 	0.00 
38221 	6.50 	2.87 	9.41 	0.00 	9.14 	0.00 
46144 	7.35 	3.26 	10.65 	0.00 	10.25 	0.00 
88475 	13.87 	6.13 	20.07 	0.00 	19.51 	0.00 
44758 	7.58 	3.33 	11.01 	0.00 	10.63 	0.00 
25144 	4.68 	2.07 	6.76 	0.00 	6.54 	0.00 
214025 	20.16 	9.05 	29.19 	0.00 	28.51 	0.00 
560543 	66.33 	29.63 	96.44 	0.00 	92.95 	0.00 
88210 	13.11 	5.79 	18.98 	0.00 	18.35 	0.00 
137928 	17.35 	7.64 	25.13 	0.00 	24.11 	0.00 
385107 	32.32 	14.45 	46.94 	0.00 	45.24 	0.00 
166275 	23.57 	10.45 	34.23 	0.00 	33.09 	0.00 
321351 	36.39 	16.02 	52.53 	0.00 	50.66 	0.00 
114511 	17.00 	7.49 	24.54 	0.00 	23.70 	0.00 
42565 	7.02 	3.08 	10.09 	0.00 	9.80 	0.00 
113694 	17.35 	7.72 	25.20 	0.00 	24.10 	0.00 
46473 	7.30 	3.21 	10.56 	0.00 	10.21 	0.00 
184522 	29.53 	13.06 	42.58 	0.00 	41.03 	0.00 
846043 	78.98 	34.84 	114.34 	0.00 	111.58 	0.00 
18205 	2.74 	1.20 	3.98 	0.00 	3.81 	0.00 
339329 	32.12 	14.38 	46.45 	0.00 	44.96 	0.00 
94012 	13.53 	5.95 	19.52 	0.00 	18.85 	0.00 
49462 	8.75 	3.86 	12.63 	0.00 	12.29 	0.00 
46581 	8.57 	3.79 	12.36 	0.00 	11.98 	0.00 
1585107 	29.52 	13.06 	42.68 	0.00 	41.20 	0.00 
61073 	10.82 	4.79 	15.63 	0.00 	15.04 	0.00 
17229 	3.14 	1.39 	4.54 	0.00 	4.38 	0.00 
147246 	22.98 	10.22 	33.38 	0.00 	32.34 	0.00 
40660 	6.80 	2.98 	9.80 	0.00 	9.38 	0.00 
76847 	12.95 	5.72 	18.73 	0.00 	18.10 	0.00 
6351 	1.15 	0.51 	1.67 	0.00 	1.62 	0.00 
43465 	7.85 	3.47 	11.38 	0.00 	10.93 	0.00 
42133 	7.62 	3.35 	10.99 	0.00 	10.70 	0.00 
426106 	44.66 	19.71 	64.55 	0.00 	62.60 	0.00 
45631 	7.29 	3.24 	10.60 	0.00 	10.23 	0.00 
54169 	8.54 	3.77 	12.34 	0.00 	11.90 	0.00 
41113 	6.54 	2.90 	9.47 	0.00 	9.16 	0.00 
209549 	32.85 	14.50 	47.60 	0.00 	45.58 	0.00 
54689 	9.85 	4.40 	14.27 	0.00 	13.88 	0.00 
360473 	51.24 	22.70 	74.24 	0.00 	71.76 	0.00 
28207 	5.13 	2.27 	7.44 	0.00 	7.18 	0.00 
458333 	56.19 	24.77 	81.20 	0.00 	78.70 	0.00 
126064 	16.37 	7.27 	23.78 	0.00 	22.99 	0.00 
62437 	10.61 	4.66 	15.32 	0.00 	14.74 	0.00 
656650 	61.74 	27.43 	89.11 	0.00 	86.27 	0.00 
